order_id,receita_bruta,receita_liquida,custo_frete
ORD-021933,248.19,248.19,44.6
ORD-008126,244.14,244.14,48.7
ORD-048261,776.08,477.15,19.27
ORD-009908,235.41,235.41,18.13
ORD-075424,1486.38,1486.38,20.24
ORD-009188,581.36,581.36,56.61
ORD-048906,93.9,93.9,58.99
ORD-011884,2735.75,1857.38,51.43
ORD-062320,1317.24,1317.24,16.4
ORD-002605,480.94,354.31,59.6
ORD-002903,469.74,388.8,7.44
ORD-077422,484.1,484.1,27.51
ORD-063558,1626.24,1261.17,44.96
ORD-017309,1047.42,921.35,45.69
ORD-034674,1381.32,1381.32,7.98
ORD-059844,810.96,810.96,44.89
ORD-017189,867.64,867.64,49.74
ORD-004130,873.06,614.42,48.12
ORD-058468,1717.56,1717.56,12.78
ORD-010048,1450.72,1450.72,20.61
ORD-018980,1815.96,1376.42,33.83
ORD-038387,924.2,649.69,19.11
ORD-013294,394.5,394.5,6.45
ORD-069795,609.9,609.9,14.58
ORD-013653,435.66,435.66,38.37
ORD-050201,570.08,570.08,21.12
ORD-070733,296.86,296.86,42.59
ORD-012528,633.51,633.51,50.26
ORD-065657,1591.8,1591.8,55.04
ORD-033198,236.37,165.14,33.36
ORD-058467,579.39,542.96,34.39
ORD-014822,761.72,761.72,12.02
ORD-039182,270.74,270.74,22.05
ORD-047969,548.46,483.3,55.25
ORD-051773,867.33,579.54,8.75
ORD-034322,652.17,516.47,22.07
ORD-065101,1374.42,1374.42,46.16
ORD-058877,145.88,117.36,49.86
ORD-067904,2360.48,1796.58,12.91
ORD-076726,168.71,168.71,54.57
ORD-044186,972.42,972.42,33.31
ORD-044956,543.72,543.72,48.4
ORD-063253,779.05,664.3,35.16
ORD-067831,500.55,500.55,34.11
ORD-068020,1365.24,1365.24,19.57
ORD-040905,636.96,636.96,6.46
ORD-079144,881.7,694.51,34.31
ORD-063583,1209.3,1098.2,48.06
ORD-029411,1010.56,1010.56,43.18
ORD-051734,250.64,250.64,33.27
ORD-015344,249.83,249.83,11.47
ORD-049399,683.16,683.16,56.37
ORD-073931,1743.16,1743.16,34.07
ORD-022074,1048.65,1048.65,42.14
ORD-037359,310.8,310.8,39.08
ORD-054874,1347.12,1347.12,25.99
ORD-068387,106.12,75.78,12.14
ORD-067505,270.48,270.48,34.17
ORD-048371,369.0,369.0,52.74
ORD-079633,961.2,961.2,12.22
ORD-015683,1157.25,1157.25,13.07
ORD-015369,542.04,542.04,54.92
ORD-037725,333.21,237.41,28.76
ORD-017322,133.6,133.6,48.28
ORD-012961,1093.96,912.89,23.57
ORD-039418,1532.6,1170.14,35.9
ORD-079461,513.9,513.9,16.84
ORD-066732,602.64,602.64,41.96
ORD-013138,1042.32,1042.32,28.63
ORD-019052,136.6,94.34,52.67
ORD-049236,244.08,219.64,39.79
ORD-011927,560.74,560.74,40.25
ORD-061828,374.08,325.1,15.13
ORD-061129,636.42,636.42,41.91
ORD-063589,356.35,356.35,57.47
ORD-009866,253.41,253.41,52.53
ORD-062088,364.08,249.99,44.82
ORD-071037,2254.0,2254.0,55.91
ORD-042376,528.67,528.67,49.13
ORD-001427,755.64,755.64,42.99
ORD-060397,1364.55,1364.55,19.4
ORD-039877,874.45,874.45,36.39
ORD-037106,455.64,312.86,50.46
ORD-000822,191.36,191.36,35.86
ORD-035638,534.3,462.28,30.61
ORD-075040,275.07,212.17,35.37
ORD-040063,1308.6,819.02,43.39
ORD-053790,266.16,266.16,13.94
ORD-061464,832.44,832.44,19.47
ORD-032315,1364.82,965.52,59.85
ORD-010031,80.54,50.78,13.76
ORD-026638,827.12,827.12,14.94
ORD-001484,785.2,654.31,54.05
ORD-023029,263.64,263.64,47.55
ORD-025285,591.0,591.0,58.62
ORD-016658,256.5,206.35,43.12
ORD-012446,646.83,646.83,25.15
ORD-075048,1163.25,1163.25,21.71
ORD-031243,247.32,247.32,34.46
ORD-057660,201.28,201.28,40.69
ORD-073572,215.94,215.94,31.69
ORD-057525,153.26,93.81,44.18
ORD-016328,473.02,377.57,24.43
ORD-001169,588.96,588.96,34.01
ORD-021115,511.7,511.7,16.27
ORD-054521,240.62,171.94,53.5
ORD-022767,797.34,535.74,17.65
ORD-072853,1303.62,825.03,32.5
ORD-061165,657.84,657.84,23.2
ORD-060766,478.29,336.48,26.19
ORD-010017,530.7,368.32,19.65
ORD-030324,208.08,208.08,59.38
ORD-006954,163.82,163.82,34.67
ORD-031685,591.09,591.09,33.54
ORD-013400,160.84,102.57,50.25
ORD-022759,678.0,678.0,33.12
ORD-040997,321.6,269.26,26.75
ORD-035558,876.65,876.65,47.2
ORD-017337,178.8,178.8,5.55
ORD-024492,747.3,747.3,40.66
ORD-055853,1411.44,1411.44,12.89
ORD-052560,194.56,194.56,47.23
ORD-067257,453.3,406.49,34.11
ORD-058166,706.86,706.86,23.38
ORD-041751,304.18,304.18,37.45
ORD-066677,596.14,596.14,43.7
ORD-016986,191.7,191.7,46.9
ORD-069646,1396.8,977.66,50.57
ORD-019857,1876.8,1876.8,13.48
ORD-065588,486.3,375.76,46.48
ORD-059702,890.84,890.84,16.84
ORD-069125,1147.74,1147.74,56.96
ORD-052974,288.53,230.12,8.54
ORD-032642,329.2,329.2,41.37
ORD-065789,1254.36,1254.36,38.82
ORD-024888,338.28,311.77,40.04
ORD-073575,1784.94,1784.94,37.13
ORD-003099,356.9,307.76,11.41
ORD-037714,522.27,434.94,11.6
ORD-005858,1149.96,1149.96,54.18
ORD-033491,601.56,601.56,45.65
ORD-010492,2849.1,2849.1,59.07
ORD-013979,993.2,676.22,42.7
ORD-076757,1780.92,1661.19,19.38
ORD-021637,255.45,255.45,30.5
ORD-003108,703.96,703.96,10.43
ORD-027449,545.76,545.76,32.46
ORD-072443,1240.72,1240.72,21.48
ORD-047107,213.69,213.69,37.64
ORD-045293,202.74,202.74,31.88
ORD-059100,73.81,73.81,16.73
ORD-005384,107.26,107.26,57.02
ORD-070280,243.02,243.02,44.17
ORD-068234,2182.44,2182.44,7.06
ORD-069208,379.71,379.71,5.22
ORD-046619,408.1,285.86,58.88
ORD-031192,157.53,157.53,45.46
ORD-040481,402.09,372.33,58.6
ORD-058850,112.76,112.76,44.06
ORD-024720,995.68,771.66,55.61
ORD-013589,695.4,556.69,54.29
ORD-052793,346.56,346.56,5.9
ORD-078898,625.56,625.56,58.47
ORD-008895,935.52,599.8,9.36
ORD-055768,1641.54,1641.54,18.81
ORD-019849,293.88,250.11,24.02
ORD-054419,141.46,91.79,52.6
ORD-032302,482.36,398.04,6.31
ORD-006504,373.66,373.66,51.39
ORD-032287,1529.95,1271.72,22.24
ORD-041393,407.5,407.5,24.53
ORD-004757,1014.27,1014.27,59.63
ORD-011769,1233.15,1233.15,22.04
ORD-056619,1058.1,1058.1,5.61
ORD-002350,148.36,148.36,12.29
ORD-060168,1110.15,722.33,59.78
ORD-022390,896.64,781.4,43.0
ORD-015185,254.84,254.84,17.12
ORD-046632,154.74,154.74,19.37
ORD-035280,466.25,466.25,16.55
ORD-070108,770.58,770.58,42.62
ORD-008253,749.88,530.38,27.34
ORD-031755,1116.92,926.11,56.91
ORD-001744,178.84,178.84,24.25
ORD-039892,201.13,164.53,5.5
ORD-043020,154.16,96.7,43.74
ORD-073510,1619.8,1447.46,20.86
ORD-010719,443.36,443.36,18.08
ORD-076236,1164.15,1164.15,36.14
ORD-000946,879.21,654.51,11.7
ORD-074615,978.0,857.56,34.43
ORD-002978,1099.38,1099.38,28.71
ORD-008985,723.95,723.95,39.26
ORD-056886,248.8,248.8,19.15
ORD-001800,615.18,615.18,14.83
ORD-056869,410.68,410.68,44.45
ORD-053518,416.78,267.03,42.79
ORD-047241,596.34,492.05,52.61
ORD-071612,1004.52,1004.52,9.22
ORD-062934,747.72,747.72,49.95
ORD-001753,564.63,564.63,25.17
ORD-005070,161.12,161.12,15.86
ORD-032555,335.44,335.44,35.61
ORD-045753,916.1,640.16,7.47
ORD-064528,434.12,434.12,58.34
ORD-007598,817.08,732.87,27.64
ORD-070121,1626.9,1626.9,24.98
ORD-048490,168.32,168.32,15.16
ORD-037888,561.86,347.86,53.35
ORD-035679,1139.2,1139.2,14.21
ORD-037393,370.12,328.85,37.64
ORD-058661,1807.5,1116.14,19.38
ORD-070289,673.55,602.87,24.22
ORD-067981,224.36,192.22,6.33
ORD-002132,1034.45,1034.45,53.68
ORD-064390,808.25,761.82,12.23
ORD-076348,271.92,271.92,17.74
ORD-033174,149.87,149.87,22.73
ORD-075563,1391.52,1391.52,55.09
ORD-000841,2419.45,2419.45,10.94
ORD-007478,94.5,82.46,42.99
ORD-040610,276.1,230.88,47.95
ORD-029284,227.95,227.95,39.89
ORD-052988,137.94,99.41,40.09
ORD-012157,360.7,360.7,52.14
ORD-065156,1665.36,1665.36,31.53
ORD-070875,872.1,612.58,37.63
ORD-076391,358.2,241.8,46.38
ORD-039688,288.6,288.6,53.65
ORD-027226,532.11,532.11,10.3
ORD-048361,437.2,437.2,8.32
ORD-037039,208.75,129.11,46.52
ORD-003420,1188.98,1188.98,11.75
ORD-000333,878.61,878.61,9.45
ORD-028732,2105.58,2105.58,26.11
ORD-002534,325.94,325.94,53.75
ORD-055623,149.8,136.38,32.05
ORD-005986,239.88,239.88,57.59
ORD-072110,281.46,281.46,25.33
ORD-008619,1169.36,727.04,29.3
ORD-075685,616.65,616.65,7.86
ORD-050160,769.76,661.39,12.55
ORD-032729,1091.2,1091.2,17.34
ORD-010136,273.91,273.91,17.36
ORD-063810,691.2,691.2,21.11
ORD-038556,404.08,404.08,22.44
ORD-026007,934.7,771.76,55.99
ORD-000564,1035.95,1035.95,25.3
ORD-068985,798.65,645.67,47.89
ORD-003067,504.35,504.35,9.27
ORD-066484,220.09,167.38,43.95
ORD-010750,480.27,480.27,22.87
ORD-011030,749.85,749.85,32.11
ORD-019892,515.97,515.97,55.36
ORD-042518,779.49,644.62,53.01
ORD-015760,448.34,448.34,58.04
ORD-021619,1450.3,1241.49,22.4
ORD-079749,937.38,937.38,22.2
ORD-035252,171.45,171.45,42.22
ORD-005134,157.72,157.72,33.19
ORD-053009,725.0,725.0,30.81
ORD-014028,419.98,419.98,15.86
ORD-012525,246.03,187.38,53.56
ORD-046891,913.12,805.2,21.03
ORD-070346,298.32,298.32,21.49
ORD-006686,264.91,264.91,24.53
ORD-056837,211.02,211.02,38.14
ORD-076995,665.45,665.45,19.06
ORD-033178,877.56,819.84,28.7
ORD-000172,711.8,711.8,32.94
ORD-042038,231.05,231.05,14.66
ORD-018718,731.46,494.02,46.61
ORD-005844,1155.44,870.9,33.4
ORD-025785,331.3,331.3,36.31
ORD-035627,81.99,68.72,30.8
ORD-015061,1114.45,1114.45,53.91
ORD-079811,512.36,512.36,58.4
ORD-035890,781.35,781.35,13.47
ORD-022329,739.92,739.92,6.17
ORD-067870,348.63,348.63,7.2
ORD-049905,517.84,517.84,28.78
ORD-016852,266.44,266.44,57.54
ORD-020539,1362.1,1362.1,40.21
ORD-013619,112.75,112.75,25.38
ORD-005639,371.64,371.64,41.24
ORD-032529,516.02,334.73,16.29
ORD-077247,228.35,228.35,37.4
ORD-061931,343.44,287.42,35.1
ORD-049667,1811.04,1811.04,35.38
ORD-039845,99.84,99.84,43.09
ORD-011449,222.92,222.92,44.08
ORD-045527,1685.65,1685.65,34.52
ORD-070276,1027.59,922.33,45.85
ORD-033475,336.39,307.02,57.05
ORD-078446,933.56,933.56,32.96
ORD-019784,152.26,152.26,58.83
ORD-037165,282.14,282.14,20.2
ORD-018761,466.2,466.2,19.27
ORD-056546,1500.05,924.49,43.76
ORD-035235,1072.25,913.44,52.06
ORD-070484,293.76,186.38,49.57
ORD-039501,172.87,159.32,39.27
ORD-014736,188.52,154.64,31.49
ORD-000795,569.32,569.32,46.68
ORD-072931,131.01,131.01,57.3
ORD-067176,1013.55,1013.55,38.62
ORD-033738,195.76,159.96,33.12
ORD-017605,627.63,544.97,11.22
ORD-078095,259.05,259.05,28.54
ORD-002517,1641.84,1641.84,45.48
ORD-077784,142.46,142.46,8.61
ORD-034262,1337.72,1337.72,35.82
ORD-045451,338.46,277.9,38.63
ORD-057478,377.24,377.24,35.73
ORD-005943,479.2,357.27,11.64
ORD-067714,894.96,620.66,38.3
ORD-027602,1888.26,1888.26,53.68
ORD-048417,997.45,997.45,17.62
ORD-053218,1580.58,1580.58,25.83
ORD-065862,623.0,623.0,14.5
ORD-021076,623.82,623.82,45.38
ORD-013457,267.4,267.4,55.18
ORD-048427,205.66,205.66,52.16
ORD-061328,294.64,177.09,39.26
ORD-053419,323.28,323.28,27.49
ORD-070707,158.45,158.45,57.9
ORD-003690,2155.5,2155.5,57.38
ORD-046131,1308.44,893.09,50.47
ORD-023611,244.89,204.45,42.7
ORD-062768,1350.1,1045.02,22.38
ORD-034764,586.74,586.74,5.51
